CustomerID,ZipCode,State
6957012,85021,AZ
6963012,25951,WV
6985012,37097,TN
7010012,69001,NE
7012012,28433,NC
7036012,05855,VT
7077012,30016,GA
7088012,34488,FL
7098012,28056,NC
7151012,41006,KY
7167012,38863,MS
7168012,75440,TX
7179012,07203,NJ
7189012,12833,NY
7217012,71118,LA
7223012,62890,IL
7322012,21668,MD
7345012,03743,NH
7347012,50002,IA
7356012,56737,MN
7372012,39429,MS
7377012,54440,WI
7402012,63673,MO
7443012,04090,ME
7448012,01952,MA
7450012,68978,NE
7476012,30189,GA
7483012,68729,NE
7503012,56308,MN
7505012,28617,NC
7564012,54028,WI
7568012,59523,MT
7571012,57783,SD
7583012,65401,MO
7601012,04083,ME
7671012,54819,WI
7674012,68164,NE
7686012,43113,OH
7699012,98903,WA
7746012,78046,TX
7751012,46239,IN
7774012,57301,SD
7777012,77471,TX
7800012,71418,LA
7808012,57349,SD
7839012,31794,GA
7862012,95329,CA
7865012,63769,MO
7874012,33525,FL
7886012,97868,OR
7911012,39120,MS
7915012,45828,OH
7946012,39272,MS
7977012,33196,FL
7989012,83341,ID
8006012,13032,NY
8092012,83440,ID
8110012,41311,KY
8130012,57014,SD
8137012,79031,TX
8157012,33198,FL
8177012,78557,TX
8181012,33976,FL
8232012,70086,LA
8251012,45247,OH
8263012,52641,IA
8277012,01752,MA
8296012,80631,CO
8306012,95346,CA
8310012,55037,MN
8361012,79905,TX
8375012,75494,TX
8411012,77437,TX
8419012,57328,SD
8421012,24121,VA
8422012,65026,MO
8431012,77587,TX
8443012,68665,NE
8447012,49329,MI
8465012,71485,LA
8466012,28429,NC
8483012,83612,ID
8510012,74112,OK
8513012,75601,TX
8528012,77304,TX
8540012,53066,WI
8609012,51247,IA
8610012,49727,MI
8685012,76060,TX
8711012,57078,SD
8717012,75119,TX
8744012,55033,MN
8771012,54703,WI
8774012,70454,LA
8777012,32425,FL
8882012,26101,WV
8903012,27205,NC
8979012,18818,PA
9018012,76567,TX
9034012,47331,IN
9084012,12953,NY
9096012,59301,MT
9116012,55057,MN
9125012,32055,FL
9167012,45638,OH
9181012,83641,ID
9212012,51031,IA
9230012,75428,TX
9255012,57401,SD
9268012,73089,OK
9287012,12887,NY
9289012,66801,KS
9311012,75785,TX
9332012,47850,IN
9358012,70811,LA
9402012,52533,IA
9420012,60455,IL
9519012,42754,KY
9535012,18222,PA
9547012,52078,IA
9618012,75165,TX
9663012,68713,NE
9682012,35672,AL
9742012,62832,IL
9747012,54467,WI
9779012,40962,KY
9862012,37087,TN
9946012,56501,MN
9972012,32420,FL
9976012,36567,AL
10001012,77539,TX
10004012,71326,LA
10005012,21502,MD
10043012,66538,KS
10076012,62230,IL
10136012,55309,MN
10155012,57078,SD
10159012,28659,NC
10181012,34773,FL
10183012,75706,TX
10189012,37218,TN
10209012,78557,TX
10230012,95620,CA
10304012,85621,AZ
10311012,32424,FL
10320012,42728,KY
10338012,72360,AR
10360012,74110,OK
10366012,77328,TX
10433012,32784,FL
10500012,10309,NY
10519012,76556,TX
10546012,77433,TX
10559012,41143,KY
10580012,68638,NE
10582012,76556,TX
10613012,50530,IA
10632012,66072,KS
10666012,56387,MN
10673012,77049,TX
10674012,05495,VT
10692012,53811,WI
10749012,28792,NC
10914012,17728,PA
10919012,57005,SD
10964012,29720,SC
10972012,34480,FL
10977012,70774,LA
10987012,58054,ND
10999012,36518,AL
11020012,87701,NM
11030012,85746,AZ
11032012,37091,TN
11091012,13316,NY
11125012,34119,FL
11136012,67661,KS
11161012,54755,WI
11178012,55353,MN
11201012,24401,VA
11223012,39577,MS
11229012,50219,IA
11242012,33191,FL
11253012,54634,WI
11259012,78025,TX
11386012,84741,UT
11389012,30461,GA
11404012,97527,OR
11462012,16872,PA
11479012,52531,IA
11515012,13367,NY
11522012,30512,GA
11548012,39326,MS
11582012,94954,CA
11597012,85086,AZ
11657012,84128,UT
11765012,84759,UT
11774012,13620,NY
11874012,77587,TX
11889012,14059,NY
11898012,04691,ME
11937012,31548,GA
11966012,65626,MO
11978012,34241,FL
12027012,35115,AL
12030012,75135,TX
12045012,58554,ND
12053012,63501,MO
12057012,51546,IA
12071012,97383,OR
12123012,38122,TN
12147012,79925,TX
12201012,79905,TX
12236012,63960,MO
12244012,97062,OR
12253012,16509,PA
12322012,35051,AL
12340012,48066,MI
12383012,41179,KY
12387012,68352,NE
12396012,75211,TX
12399012,54761,WI
12417012,67835,KS
12434012,53538,WI
12473012,97814,OR
12474012,25938,WV
12492012,53546,WI
12518012,18088,PA
12557012,01247,MA
12580012,53150,WI
12644012,19518,PA
12674012,30120,GA
12826012,86326,AZ
12864012,13626,NY
12909012,52001,IA
12914012,68521,NE
12918012,63090,MO
12948012,32060,FL
12962012,60457,IL
12970012,71235,LA
12996012,67601,KS
13000012,15767,PA
13001012,78041,TX
13002012,77554,TX
13114012,13676,NY
13128012,71234,LA
13155012,85336,AZ
13174012,53146,WI
13205012,46115,IN
13222012,37040,TN
13228012,06795,CT
13230012,68970,NE
13286012,16424,PA
13309012,49031,MI
13398012,61542,IL
13494012,76861,TX
13515012,31329,GA
13534012,29690,SC
13573012,68733,NE
13599012,49036,MI
13604012,35603,AL
13609012,30290,GA
13629012,24228,VA
13657012,72142,AR
13672012,51401,IA
13705012,26330,WV
13840012,55746,MN
13848012,11757,NY
13860012,54729,WI
13867012,71730,AR
13887012,73401,OK
13898012,29067,SC
13905012,48133,MI
13921012,24522,VA
13935012,48161,MI
13944012,47137,IN
13952012,43138,OH
13977012,56551,MN
13980012,97008,OR
13991012,14482,NY
14016012,76210,TX
14026012,92084,CA
14057012,81416,CO
14068012,19002,PA
14098012,27889,NC
14136012,34753,FL
14155012,33972,FL
14202012,29936,SC
14281012,50171,IA
14312012,01085,MA
14336012,42642,KY
14340012,54128,WI
14358012,30622,GA
14465012,58458,ND
14478012,46164,IN
14506012,89049,NV
14509012,50655,IA
14517012,27572,NC
14545012,66962,KS
14555012,68649,NE
14565012,32926,FL
14608012,33412,FL
14614012,59701,MT
14630012,23831,VA
14638012,24256,VA
14649012,24416,VA
14660012,36079,AL
14688012,65074,MO
14701012,68016,NE
14703012,38060,TN
14708012,19607,PA
14744012,66771,KS
14772012,75605,TX
14779012,76306,TX
14786012,57226,SD
14788012,27288,NC
14811012,65775,MO
14823012,53808,WI
14872012,33467,FL
14946012,18512,PA
14950012,89040,NV
14952012,98532,WA
14974012,86326,AZ
15017012,01255,MA
15019012,30536,GA
15167012,24283,VA
15222012,52535,IA
15230012,62691,IL
15257012,67737,KS
15293012,42276,KY
15354012,56710,MN
15364012,72837,AR
15372012,55733,MN
15377012,50022,IA
15380012,63446,MO
15405012,41777,KY
15413012,36915,AL
15416012,61356,IL
15428012,95313,CA
15481012,57028,SD
15484012,62431,IL
15535012,13327,NY
15560012,80128,CO
15601012,78577,TX
15602012,03818,NH
15612012,25053,WV
15644012,75166,TX
15668012,16833,PA
15710012,74701,OK
15737012,33191,FL
15753012,24827,WV
15775012,92154,CA
15789012,34104,FL
15816012,71040,LA
15878012,36010,AL
15985012,17042,PA
16011012,46962,IN
16018012,68822,NE
16023012,27537,NC
16024012,27896,NC
16033012,79835,TX
16047012,68651,NE
16119012,54727,WI
16181012,65802,MO
16188012,77388,TX
16207012,56273,MN
16218012,47564,IN
16238012,67037,KS
16242012,68663,NE
16247012,68713,NE
16262012,52722,IA
16283012,54129,WI
16290012,57029,SD
16295012,68632,NE
16304012,55731,MN
16307012,82443,WY
16369012,14753,NY
16374012,59412,MT
16439012,02878,RI
16489012,38829,MS
16645012,05455,VT
16656012,30215,GA
16703012,63536,MO
16704012,84606,UT
16712012,38462,TN
16715012,58554,ND
16717012,88201,NM
16721012,83835,ID
16754012,78041,TX
16777012,28625,NC
16799012,80012,CO
16812012,56447,MN
16819012,33166,FL
16858012,80751,CO
16895012,30276,GA
16904012,28420,NC
16919012,63049,MO
16921012,49721,MI
16931012,56735,MN
16934012,75158,TX
16945012,77301,TX
16956012,04743,ME
16996012,26416,WV
17054012,33523,FL
17060012,44656,OH
17082012,62881,IL
17086012,59901,MT
17098012,16314,PA
17135012,10579,NY
17159012,28752,NC
17204012,68733,NE
17240012,03109,NH
17253012,53105,WI
17257012,67502,KS
17261012,53585,WI
17442012,68644,NE
17459012,56136,MN
17468012,51401,IA
17470012,37716,TN
17514012,42025,KY
17573012,63563,MO
17586012,82633,WY
17594012,21536,MD
17627012,24479,VA
17658012,84078,UT
17662012,72081,AR
17717012,23063,VA
17729012,32927,FL
17769012,71913,AR
17776012,78582,TX
17808012,35473,AL
17848012,75941,TX
17851012,78240,TX
17870012,84321,UT
17891012,42539,KY
17898012,71225,LA
17911012,46203,IN
17914012,44890,OH
17916012,83835,ID
17921012,88030,NM
17922012,84074,UT
17935012,57401,SD
17965012,61447,IL
17969012,51357,IA
17977012,15417,PA
17985012,72360,AR
18057012,82442,WY
18068012,14012,NY
18091012,38301,TN
18114012,36041,AL
18157012,46307,IN
